"sub"	"RT"	"correct"	"category"	"condition"	"conditionName"	"repeatDist"	"targetItem"	"conditionCheck"	"categoryNum"	"phase"	"test"	"conditionNum"	"indivCountC1"	"indivCountC2"	"indivCountC3"	"indivCountC4"
"72"	"3"	2861	1	"SmallFam"	1	"uniform"	0	"SmallFam6.jpg"	1	2	"SixItems"	6	1	14	12	11	12
"73"	"3"	1181	1	"BigFam"	2	"mixed"	0	"BigFam5.jpg"	2	1	"SixItems"	6	2	14	12	11	12
"74"	"3"	3145	1	"BigFam"	1	"uniform"	0	"BigFam15.jpg"	1	1	"SixItems"	6	1	14	12	11	12
"75"	"3"	847	1	"SmallFam"	2	"mixed"	0	"SmallFam16.jpg"	2	2	"SixItems"	6	2	14	12	11	12
"76"	"3"	3436	1	"SmallFam"	1	"uniform"	0	"SmallFam17.jpg"	1	2	"SixItems"	6	1	14	12	11	12
"77"	"3"	972	1	"BigFam"	1	"uniform"	0	"BigFam3.jpg"	1	1	"SixItems"	6	1	14	12	11	12
"78"	"3"	1993	1	"SmallFam"	2	"mixed"	0	"SmallFam15.jpg"	2	2	"SixItems"	6	2	14	12	11	12
"79"	"3"	1437	1	"BigFam"	2	"mixed"	0	"BigFam6.jpg"	2	1	"SixItems"	6	2	14	12	11	12
"80"	"3"	1906	1	"SmallFam"	1	"uniform"	0	"SmallFam5.jpg"	1	2	"SixItems"	6	1	14	12	11	12
"81"	"3"	1574	1	"SmallFam"	1	"uniform"	0	"SmallFam16.jpg"	1	2	"SixItems"	6	1	14	12	11	12
"82"	"3"	1223	1	"BigFam"	1	"uniform"	0	"BigFam10.jpg"	1	1	"SixItems"	6	1	14	12	11	12
"83"	"3"	1248	1	"SmallFam"	2	"mixed"	0	"SmallFam3.jpg"	2	2	"SixItems"	6	2	14	12	11	12
"84"	"3"	2127	1	"SmallFam"	1	"uniform"	0	"SmallFam13.jpg"	1	2	"SixItems"	6	1	14	12	11	12
"85"	"3"	2065	1	"BigFam"	1	"uniform"	0	"BigFam4.jpg"	1	1	"SixItems"	6	1	14	12	11	12
"86"	"4"	2544	1	"BigFam"	2	"mixed"	0	"BigFam15.jpg"	2	1	"SixItems"	6	2	13	13	17	11
"87"	"4"	1221	1	"BigFam"	1	"uniform"	0	"BigFam6.jpg"	1	1	"SixItems"	6	1	13	13	17	11
"88"	"4"	1436	1	"BigFam"	2	"mixed"	0	"BigFam18.jpg"	2	1	"SixItems"	6	2	13	13	17	11
"89"	"4"	1444	1	"SmallFam"	1	"uniform"	0	"SmallFam16.jpg"	1	2	"SixItems"	6	1	13	13	17	11
"90"	"4"	2856	1	"SmallFam"	1	"uniform"	0	"SmallFam12.jpg"	1	2	"SixItems"	6	1	13	13	17	11
"91"	"4"	1465	1	"BigFam"	1	"uniform"	0	"BigFam5.jpg"	1	1	"SixItems"	6	1	13	13	17	11
"92"	"4"	1529	1	"SmallFam"	2	"mixed"	0	"SmallFam5.jpg"	2	2	"SixItems"	6	2	13	13	17	11
"93"	"4"	2511	1	"BigFam"	2	"mixed"	0	"BigFam1.jpg"	2	1	"SixItems"	6	2	13	13	17	11
"94"	"4"	1409	1	"BigFam"	2	"mixed"	0	"BigFam5.jpg"	2	1	"SixItems"	6	2	13	13	17	11
"95"	"4"	1466	1	"SmallFam"	1	"uniform"	0	"SmallFam7.jpg"	1	2	"SixItems"	6	1	13	13	17	11
"96"	"4"	1747	1	"BigFam"	1	"uniform"	0	"BigFam8.jpg"	1	1	"SixItems"	6	1	13	13	17	11
"97"	"4"	1209	1	"SmallFam"	2	"mixed"	0	"SmallFam10.jpg"	2	2	"SixItems"	6	2	13	13	17	11
"98"	"4"	1047	1	"SmallFam"	2	"mixed"	0	"SmallFam9.jpg"	2	2	"SixItems"	6	2	13	13	17	11
