"sub"	"RT"	"correct"	"category"	"condition"	"conditionName"	"repeatDist"	"targetItem"	"conditionCheck"	"categoryNum"	"phase"	"test"	"conditionNum"	"indivCountC1"	"indivCountC2"	"indivCountC3"	"indivCountC4"
"90"	"3"	1965	1	"Animals"	2	"mixed"	0	"18.jpg"	2	1	"SixItems"	6	2	5	8	10	5
"91"	"3"	1838	1	"Animals"	2	"mixed"	0	"19.jpg"	2	1	"SixItems"	6	2	5	8	10	5
"92"	"3"	1230	1	"Objects"	2	"mixed"	0	"19.jpg"	2	2	"SixItems"	6	2	5	8	10	5
"93"	"3"	2925	1	"Animals"	2	"mixed"	0	"12.jpg"	2	1	"SixItems"	6	2	5	8	10	5
"94"	"3"	1753	1	"Objects"	2	"mixed"	0	"23.jpg"	2	2	"SixItems"	6	2	5	8	10	5
"95"	"3"	2918	1	"Objects"	1	"uniform"	0	"9.jpg"	1	2	"SixItems"	6	1	5	8	10	5
"96"	"3"	2327	1	"Objects"	2	"mixed"	0	"16.jpg"	2	2	"SixItems"	6	2	5	8	10	5
"97"	"3"	3144	1	"Objects"	1	"uniform"	0	"19.jpg"	1	2	"SixItems"	6	1	5	8	10	5
"98"	"3"	1237	1	"Animals"	2	"mixed"	0	"14.jpg"	2	1	"SixItems"	6	2	5	8	10	5
"99"	"3"	2572	1	"Animals"	2	"mixed"	0	"3.jpg"	2	1	"SixItems"	6	2	5	8	10	5
"100"	"3"	3979	1	"Animals"	2	"mixed"	0	"11.jpg"	2	1	"SixItems"	6	2	5	8	10	5
"101"	"3"	1098	1	"Animals"	1	"uniform"	0	"5.jpg"	1	1	"SixItems"	6	1	5	8	10	5
"102"	"3"	2099	1	"Objects"	1	"uniform"	0	"21.jpg"	1	2	"SixItems"	6	1	5	8	10	5
"103"	"3"	2667	1	"Objects"	2	"mixed"	0	"11.jpg"	2	2	"SixItems"	6	2	5	8	10	5
"104"	"3"	3306	1	"Objects"	1	"uniform"	0	"20.jpg"	1	2	"SixItems"	6	1	5	8	10	5
"105"	"3"	3511	1	"Animals"	1	"uniform"	0	"3.jpg"	1	1	"SixItems"	6	1	5	8	10	5
"106"	"3"	3457	1	"Objects"	1	"uniform"	0	"16.jpg"	1	2	"SixItems"	6	1	5	8	10	5
"107"	"3"	3297	1	"Animals"	2	"mixed"	0	"4.jpg"	2	1	"SixItems"	6	2	5	8	10	5
"108"	"3"	1703	1	"Animals"	2	"mixed"	0	"22.jpg"	2	1	"SixItems"	6	2	5	8	10	5
"109"	"4"	1068	1	"Animals"	1	"uniform"	0	"14.jpg"	1	1	"SixItems"	6	1	3	4	2	3
"110"	"4"	988	1	"Objects"	1	"uniform"	0	"11.jpg"	1	2	"SixItems"	6	1	3	4	2	3
"111"	"4"	1625	1	"Objects"	2	"mixed"	0	"10.jpg"	2	2	"SixItems"	6	2	3	4	2	3
"112"	"4"	2185	1	"Objects"	2	"mixed"	0	"1.jpg"	2	2	"SixItems"	6	2	3	4	2	3
"113"	"4"	987	1	"Animals"	2	"mixed"	0	"9.jpg"	2	1	"SixItems"	6	2	3	4	2	3
"114"	"4"	820	1	"Objects"	1	"uniform"	0	"4.jpg"	1	2	"SixItems"	6	1	3	4	2	3
"115"	"4"	1201	1	"Animals"	2	"mixed"	0	"17.jpg"	2	1	"SixItems"	6	2	3	4	2	3
"116"	"4"	855	1	"Animals"	1	"uniform"	0	"24.jpg"	1	1	"SixItems"	6	1	3	4	2	3
"117"	"4"	1297	1	"Objects"	2	"mixed"	0	"22.jpg"	2	2	"SixItems"	6	2	3	4	2	3
"118"	"4"	2365	1	"Objects"	1	"uniform"	0	"20.jpg"	1	2	"SixItems"	6	1	3	4	2	3
"119"	"4"	2272	1	"Animals"	1	"uniform"	0	"10.jpg"	1	1	"SixItems"	6	1	3	4	2	3
"120"	"4"	1241	1	"Objects"	1	"uniform"	0	"13.jpg"	1	2	"SixItems"	6	1	3	4	2	3
"121"	"6"	1810	1	"Objects"	1	"uniform"	0	"24.jpg"	1	2	"SixItems"	6	1	2	5	6	3
"122"	"6"	2356	1	"Animals"	2	"mixed"	0	"23.jpg"	2	1	"SixItems"	6	2	2	5	6	3
"123"	"6"	1519	1	"Objects"	2	"mixed"	0	"18.jpg"	2	2	"SixItems"	6	2	2	5	6	3
"124"	"6"	1467	1	"Objects"	1	"uniform"	0	"17.jpg"	1	2	"SixItems"	6	1	2	5	6	3
"125"	"6"	1801	1	"Animals"	2	"mixed"	0	"13.jpg"	2	1	"SixItems"	6	2	2	5	6	3
"126"	"6"	1604	1	"Animals"	2	"mixed"	0	"6.jpg"	2	1	"SixItems"	6	2	2	5	6	3
"127"	"6"	1771	1	"Objects"	2	"mixed"	0	"2.jpg"	2	2	"SixItems"	6	2	2	5	6	3
"128"	"6"	1753	1	"Animals"	2	"mixed"	0	"22.jpg"	2	1	"SixItems"	6	2	2	5	6	3
"129"	"6"	2550	1	"Objects"	1	"uniform"	0	"16.jpg"	1	2	"SixItems"	6	1	2	5	6	3
"130"	"6"	2986	1	"Animals"	2	"mixed"	0	"9.jpg"	2	1	"SixItems"	6	2	2	5	6	3
"131"	"6"	2702	1	"Objects"	1	"uniform"	0	"19.jpg"	1	2	"SixItems"	6	1	2	5	6	3
"132"	"6"	1810	1	"Animals"	1	"uniform"	0	"15.jpg"	1	1	"SixItems"	6	1	2	5	6	3
"133"	"6"	3114	1	"Animals"	1	"uniform"	0	"8.jpg"	1	1	"SixItems"	6	1	2	5	6	3
"134"	"6"	1882	1	"Objects"	1	"uniform"	0	"10.jpg"	1	2	"SixItems"	6	1	2	5	6	3
"135"	"6"	2531	1	"Objects"	2	"mixed"	0	"15.jpg"	2	2	"SixItems"	6	2	2	5	6	3
"136"	"6"	1069	1	"Animals"	2	"mixed"	0	"19.jpg"	2	1	"SixItems"	6	2	2	5	6	3
"137"	"7"	1407	1	"Animals"	2	"mixed"	0	"3.jpg"	2	1	"SixItems"	6	2	5	6	5	5
"138"	"7"	1006	1	"Objects"	2	"mixed"	0	"4.jpg"	2	2	"SixItems"	6	2	5	6	5	5
"139"	"7"	1729	1	"Animals"	1	"uniform"	0	"9.jpg"	1	1	"SixItems"	6	1	5	6	5	5
"140"	"7"	1868	1	"Objects"	1	"uniform"	0	"2.jpg"	1	2	"SixItems"	6	1	5	6	5	5
"141"	"7"	1090	1	"Animals"	2	"mixed"	0	"7.jpg"	2	1	"SixItems"	6	2	5	6	5	5
"142"	"7"	1202	1	"Objects"	2	"mixed"	0	"14.jpg"	2	2	"SixItems"	6	2	5	6	5	5
"143"	"7"	2797	1	"Animals"	1	"uniform"	0	"19.jpg"	1	1	"SixItems"	6	1	5	6	5	5
"144"	"7"	2950	1	"Objects"	1	"uniform"	0	"22.jpg"	1	2	"SixItems"	6	1	5	6	5	5
"145"	"7"	1431	1	"Objects"	2	"mixed"	0	"5.jpg"	2	2	"SixItems"	6	2	5	6	5	5
"146"	"7"	1876	1	"Animals"	1	"uniform"	0	"23.jpg"	1	1	"SixItems"	6	1	5	6	5	5
"147"	"7"	1005	1	"Objects"	1	"uniform"	0	"11.jpg"	1	2	"SixItems"	6	1	5	6	5	5
"148"	"7"	1039	1	"Animals"	2	"mixed"	0	"9.jpg"	2	1	"SixItems"	6	2	5	6	5	5
"149"	"7"	1291	1	"Animals"	2	"mixed"	0	"16.jpg"	2	1	"SixItems"	6	2	5	6	5	5
"150"	"7"	1198	1	"Objects"	2	"mixed"	0	"24.jpg"	2	2	"SixItems"	6	2	5	6	5	5
"151"	"7"	2428	1	"Animals"	1	"uniform"	0	"21.jpg"	1	1	"SixItems"	6	1	5	6	5	5
"152"	"7"	1005	1	"Objects"	1	"uniform"	0	"21.jpg"	1	2	"SixItems"	6	1	5	6	5	5
"153"	"7"	1870	1	"Animals"	2	"mixed"	0	"8.jpg"	2	1	"SixItems"	6	2	5	6	5	5
"154"	"7"	1893	1	"Animals"	1	"uniform"	0	"4.jpg"	1	1	"SixItems"	6	1	5	6	5	5
"155"	"7"	1727	1	"Objects"	1	"uniform"	0	"1.jpg"	1	2	"SixItems"	6	1	5	6	5	5
"156"	"7"	1292	1	"Objects"	2	"mixed"	0	"15.jpg"	2	2	"SixItems"	6	2	5	6	5	5
"157"	"7"	1346	1	"Objects"	1	"uniform"	0	"15.jpg"	1	2	"SixItems"	6	1	5	6	5	5
"158"	"8"	920	1	"Animals"	1	"uniform"	0	"15.jpg"	1	1	"SixItems"	6	1	3	3	4	3
"159"	"8"	1071	1	"Animals"	2	"mixed"	0	"7.jpg"	2	1	"SixItems"	6	2	3	3	4	3
"160"	"8"	1106	1	"Animals"	2	"mixed"	0	"14.jpg"	2	1	"SixItems"	6	2	3	3	4	3
"161"	"8"	1989	1	"Animals"	1	"uniform"	0	"22.jpg"	1	1	"SixItems"	6	1	3	3	4	3
"162"	"8"	1098	1	"Objects"	1	"uniform"	0	"21.jpg"	1	2	"SixItems"	6	1	3	3	4	3
"163"	"8"	1242	1	"Objects"	2	"mixed"	0	"16.jpg"	2	2	"SixItems"	6	2	3	3	4	3
"164"	"8"	2159	1	"Objects"	1	"uniform"	0	"1.jpg"	1	2	"SixItems"	6	1	3	3	4	3
"165"	"8"	1957	1	"Animals"	1	"uniform"	0	"4.jpg"	1	1	"SixItems"	6	1	3	3	4	3
"166"	"8"	1122	1	"Objects"	2	"mixed"	0	"21.jpg"	2	2	"SixItems"	6	2	3	3	4	3
"167"	"8"	1088	1	"Animals"	2	"mixed"	0	"17.jpg"	2	1	"SixItems"	6	2	3	3	4	3
"168"	"8"	2055	1	"Objects"	1	"uniform"	0	"23.jpg"	1	2	"SixItems"	6	1	3	3	4	3
"169"	"8"	1860	1	"Objects"	2	"mixed"	0	"10.jpg"	2	2	"SixItems"	6	2	3	3	4	3
"170"	"8"	1022	1	"Animals"	2	"mixed"	0	"5.jpg"	2	1	"SixItems"	6	2	3	3	4	3
"171"	"9"	1106	1	"Animals"	2	"mixed"	0	"9.jpg"	2	1	"SixItems"	6	2	3	7	8	7
"172"	"9"	2577	1	"Objects"	2	"mixed"	0	"9.jpg"	2	2	"SixItems"	6	2	3	7	8	7
"173"	"9"	1272	1	"Objects"	1	"uniform"	0	"1.jpg"	1	2	"SixItems"	6	1	3	7	8	7
"174"	"9"	2129	1	"Animals"	1	"uniform"	0	"9.jpg"	1	1	"SixItems"	6	1	3	7	8	7
"175"	"9"	1495	1	"Animals"	2	"mixed"	0	"3.jpg"	2	1	"SixItems"	6	2	3	7	8	7
"176"	"9"	2057	1	"Objects"	2	"mixed"	0	"6.jpg"	2	2	"SixItems"	6	2	3	7	8	7
"177"	"9"	1357	1	"Objects"	1	"uniform"	0	"22.jpg"	1	2	"SixItems"	6	1	3	7	8	7
"178"	"9"	1102	1	"Objects"	1	"uniform"	0	"7.jpg"	1	2	"SixItems"	6	1	3	7	8	7
"179"	"9"	1023	1	"Objects"	2	"mixed"	0	"18.jpg"	2	2	"SixItems"	6	2	3	7	8	7
"180"	"9"	2960	1	"Animals"	2	"mixed"	0	"16.jpg"	2	1	"SixItems"	6	2	3	7	8	7
"181"	"9"	870	1	"Objects"	2	"mixed"	0	"22.jpg"	2	2	"SixItems"	6	2	3	7	8	7
"182"	"9"	1887	1	"Objects"	1	"uniform"	0	"19.jpg"	1	2	"SixItems"	6	1	3	7	8	7
"183"	"9"	1240	1	"Animals"	2	"mixed"	0	"1.jpg"	2	1	"SixItems"	6	2	3	7	8	7
"184"	"9"	1960	1	"Objects"	2	"mixed"	0	"21.jpg"	2	2	"SixItems"	6	2	3	7	8	7
"185"	"9"	1487	1	"Animals"	1	"uniform"	0	"2.jpg"	1	1	"SixItems"	6	1	3	7	8	7
"186"	"9"	1784	1	"Animals"	2	"mixed"	0	"7.jpg"	2	1	"SixItems"	6	2	3	7	8	7
"187"	"9"	1615	1	"Objects"	1	"uniform"	0	"4.jpg"	1	2	"SixItems"	6	1	3	7	8	7
"188"	"9"	1585	1	"Objects"	1	"uniform"	0	"24.jpg"	1	2	"SixItems"	6	1	3	7	8	7
"189"	"9"	1310	1	"Animals"	2	"mixed"	0	"15.jpg"	2	1	"SixItems"	6	2	3	7	8	7
"190"	"9"	1373	1	"Objects"	2	"mixed"	0	"12.jpg"	2	2	"SixItems"	6	2	3	7	8	7
"191"	"9"	2291	1	"Animals"	1	"uniform"	0	"5.jpg"	1	1	"SixItems"	6	1	3	7	8	7
"192"	"9"	1535	1	"Animals"	2	"mixed"	0	"24.jpg"	2	1	"SixItems"	6	2	3	7	8	7
"193"	"9"	1599	1	"Objects"	2	"mixed"	0	"8.jpg"	2	2	"SixItems"	6	2	3	7	8	7
"194"	"9"	1291	1	"Objects"	1	"uniform"	0	"6.jpg"	1	2	"SixItems"	6	1	3	7	8	7
"195"	"9"	1054	1	"Animals"	2	"mixed"	0	"19.jpg"	2	1	"SixItems"	6	2	3	7	8	7
"196"	"10"	1357	1	"Objects"	1	"uniform"	0	"23.jpg"	1	2	"SixItems"	6	1	8	8	8	6
"197"	"10"	1342	1	"Animals"	1	"uniform"	0	"5.jpg"	1	1	"SixItems"	6	1	8	8	8	6
"198"	"10"	1570	1	"Animals"	2	"mixed"	0	"7.jpg"	2	1	"SixItems"	6	2	8	8	8	6
"199"	"10"	3567	1	"Objects"	1	"uniform"	0	"4.jpg"	1	2	"SixItems"	6	1	8	8	8	6
"200"	"10"	1336	1	"Animals"	2	"mixed"	0	"5.jpg"	2	1	"SixItems"	6	2	8	8	8	6
"201"	"10"	1825	1	"Animals"	1	"uniform"	0	"21.jpg"	1	1	"SixItems"	6	1	8	8	8	6
"202"	"10"	1155	1	"Objects"	2	"mixed"	0	"8.jpg"	2	2	"SixItems"	6	2	8	8	8	6
"203"	"10"	1351	1	"Objects"	1	"uniform"	0	"18.jpg"	1	2	"SixItems"	6	1	8	8	8	6
"204"	"10"	1731	1	"Objects"	2	"mixed"	0	"6.jpg"	2	2	"SixItems"	6	2	8	8	8	6
"205"	"10"	1203	1	"Animals"	2	"mixed"	0	"20.jpg"	2	1	"SixItems"	6	2	8	8	8	6
"206"	"10"	2909	1	"Animals"	1	"uniform"	0	"7.jpg"	1	1	"SixItems"	6	1	8	8	8	6
"207"	"10"	1452	1	"Animals"	2	"mixed"	0	"3.jpg"	2	1	"SixItems"	6	2	8	8	8	6
"208"	"10"	2755	1	"Animals"	1	"uniform"	0	"19.jpg"	1	1	"SixItems"	6	1	8	8	8	6
"209"	"10"	1419	1	"Objects"	1	"uniform"	0	"10.jpg"	1	2	"SixItems"	6	1	8	8	8	6
"210"	"10"	1513	1	"Objects"	2	"mixed"	0	"24.jpg"	2	2	"SixItems"	6	2	8	8	8	6
"211"	"10"	1809	1	"Objects"	1	"uniform"	0	"3.jpg"	1	2	"SixItems"	6	1	8	8	8	6
"212"	"10"	1787	1	"Objects"	2	"mixed"	0	"2.jpg"	2	2	"SixItems"	6	2	8	8	8	6
"213"	"10"	2966	1	"Animals"	1	"uniform"	0	"16.jpg"	1	1	"SixItems"	6	1	8	8	8	6
"214"	"10"	1592	1	"Animals"	2	"mixed"	0	"1.jpg"	2	1	"SixItems"	6	2	8	8	8	6
"215"	"10"	1359	1	"Animals"	2	"mixed"	0	"17.jpg"	2	1	"SixItems"	6	2	8	8	8	6
"216"	"10"	1806	1	"Objects"	1	"uniform"	0	"5.jpg"	1	2	"SixItems"	6	1	8	8	8	6
"217"	"10"	1280	1	"Objects"	2	"mixed"	0	"13.jpg"	2	2	"SixItems"	6	2	8	8	8	6
