sub	RT	correct	category	condition	conditionName	repeatDist	targetItem	categoryNum	phase
4	1274	1	Food	2	mixed	0	Food3.jpg	1	SixItems
4	1180	1	Objects	1	uniform	0	Objects17.jpg	2	SixItems
4	2424	1	Objects	2	mixed	0	Objects4.jpg	2	SixItems
4	1726	1	Food	1	uniform	0	Food2.jpg	1	SixItems
4	1275	1	Food	2	mixed	0	Food4.jpg	1	SixItems
4	1103	1	Food	1	uniform	0	Food19.jpg	1	SixItems
4	1195	1	Objects	2	mixed	0	Objects17.jpg	2	SixItems
4	4787	1	Objects	1	uniform	0	Objects1.jpg	2	SixItems
4	2195	1	Objects	1	uniform	0	Objects4.jpg	2	SixItems
4	1877	1	Food	1	uniform	0	Food7.jpg	1	SixItems
4	3935	1	Objects	2	mixed	0	Objects20.jpg	2	SixItems
4	1593	1	Food	2	mixed	0	Food9.jpg	1	SixItems
4	3154	1	Objects	2	mixed	0	Objects14.jpg	2	SixItems
4	1821	1	Food	1	uniform	0	Food6.jpg	1	SixItems
4	1592	1	Food	2	mixed	0	Food10.jpg	1	SixItems
4	1292	1	Objects	1	uniform	0	Objects18.jpg	2	SixItems
4	4383	1	Objects	1	uniform	0	Objects16.jpg	2	SixItems
4	1649	1	Objects	2	mixed	0	Objects1.jpg	2	SixItems
4	1145	1	Food	2	mixed	0	Food20.jpg	1	SixItems
4	3855	1	Food	1	uniform	0	Food1.jpg	1	SixItems
4	3269	1	Food	1	uniform	0	Food20.jpg	1	SixItems
4	3089	1	Objects	2	mixed	0	Objects15.jpg	2	SixItems
4	12441	1	Objects	1	uniform	0	Objects2.jpg	2	SixItems
4	2392	1	Food	2	mixed	0	Food18.jpg	1	SixItems
4	2643	1	Food	1	uniform	0	Food14.jpg	1	SixItems
4	1999	1	Food	2	mixed	0	Food16.jpg	1	SixItems
4	1514	1	Objects	1	uniform	0	Objects8.jpg	2	SixItems
4	1741	1	Objects	2	mixed	0	Objects10.jpg	2	SixItems
4	2061	1	Objects	1	uniform	0	Objects9.jpg	2	SixItems
4	1313	1	Objects	2	mixed	0	Objects11.jpg	2	SixItems
4	2898	1	Food	1	uniform	0	Food13.jpg	1	SixItems
4	1300	1	Food	2	mixed	0	Food15.jpg	1	SixItems
4	1381	1	Food	2	mixed	0	Food17.jpg	1	SixItems
4	1605	1	Objects	1	uniform	0	Objects14.jpg	2	SixItems
4	2507	1	Objects	2	mixed	0	Objects2.jpg	2	SixItems
4	1564	1	Food	1	uniform	0	Food9.jpg	1	SixItems
4	6855	1	Objects	2	mixed	0	Objects12.jpg	2	SixItems
4	1274	1	Food	1	uniform	0	Food12.jpg	1	SixItems
4	21653	1	Food	2	mixed	0	Food19.jpg	1	SixItems
4	1087	1	Objects	1	uniform	0	Objects15.jpg	2	SixItems
4	1444	1	Food	2	mixed	0	Food11.jpg	1	SixItems
4	2305	1	Objects	2	mixed	0	Objects6.jpg	2	SixItems
4	2011	1	Food	1	uniform	0	Food5.jpg	1	SixItems
4	1592	1	Objects	1	uniform	0	Objects7.jpg	2	SixItems
4	8188	1	Objects	1	uniform	0	Objects13.jpg	2	SixItems
4	1594	1	Food	1	uniform	0	Food4.jpg	1	SixItems
4	1439	1	Food	2	mixed	0	Food13.jpg	1	SixItems
4	1556	1	Objects	2	mixed	0	Objects13.jpg	2	SixItems
4	1241	1	Objects	2	mixed	0	Objects5.jpg	2	SixItems
4	1238	1	Food	1	uniform	0	Food16.jpg	1	SixItems
4	3439	1	Food	2	mixed	0	Food2.jpg	1	SixItems
4	1831	1	Objects	1	uniform	0	Objects19.jpg	2	SixItems
4	2157	1	Food	2	mixed	0	Food8.jpg	1	SixItems
4	33694	1	Objects	1	uniform	0	Objects5.jpg	2	SixItems
4	1250	1	Food	1	uniform	0	Food17.jpg	1	SixItems
4	7044	0	Objects	2	mixed	0	Objects7.jpg	2	SixItems
4	1436	1	Objects	2	mixed	0	Objects16.jpg	2	SixItems
4	4577	1	Food	2	mixed	0	Food14.jpg	1	SixItems
4	2460	1	Objects	1	uniform	0	Objects10.jpg	2	SixItems
4	3058	1	Food	1	uniform	0	Food18.jpg	1	SixItems
4	1303	1	Food	1	uniform	0	Food3.jpg	1	SixItems
4	986	1	Objects	1	uniform	0	Objects6.jpg	2	SixItems
4	1693	1	Food	2	mixed	0	Food6.jpg	1	SixItems
4	1413	1	Objects	2	mixed	0	Objects9.jpg	2	SixItems
5	2584	1	Food	1	uniform	0	Food14.jpg	1	ThreeItems
5	1960	1	Objects	1	uniform	0	Objects18.jpg	2	ThreeItems
5	1837	1	Food	2	mixed	0	Food17.jpg	1	ThreeItems
5	1783	1	Objects	2	mixed	0	Objects3.jpg	2	ThreeItems
5	2239	1	Food	1	uniform	0	Food5.jpg	1	ThreeItems
5	2317	1	Objects	1	uniform	0	Objects3.jpg	2	ThreeItems
5	1403	1	Objects	2	mixed	0	Objects7.jpg	2	ThreeItems
5	1319	1	Food	2	mixed	0	Food8.jpg	1	ThreeItems
5	1564	1	Objects	2	mixed	0	Objects4.jpg	2	ThreeItems
5	2396	1	Objects	1	uniform	0	Objects9.jpg	2	ThreeItems
5	1749	1	Food	2	mixed	0	Food19.jpg	1	ThreeItems
5	2909	0	Food	1	uniform	0	Food17.jpg	1	SixItems
5	2122	1	Objects	1	uniform	0	Objects12.jpg	2	SixItems
5	1604	1	Food	2	mixed	0	Food3.jpg	1	SixItems
5	2434	1	Objects	2	mixed	0	Objects14.jpg	2	SixItems
5	14396	0	Food	1	uniform	0	Food19.jpg	1	SixItems
5	4460	1	Food	2	mixed	0	Food9.jpg	1	SixItems
5	4089	1	Objects	2	mixed	0	Objects8.jpg	2	SixItems
5	2115	1	Food	1	uniform	0	Food11.jpg	1	SixItems
5	5551	1	Objects	1	uniform	0	Objects2.jpg	2	SixItems
5	2223	1	Food	1	uniform	0	Food10.jpg	1	SixItems
5	4727	1	Food	2	mixed	0	Food7.jpg	1	SixItems
5	2455	1	Objects	1	uniform	0	Objects5.jpg	2	SixItems
5	1929	1	Objects	2	mixed	0	Objects5.jpg	2	SixItems
5	4203	1	Food	2	mixed	0	Food5.jpg	1	SixItems
5	2473	1	Food	1	uniform	0	Food12.jpg	1	SixItems
6	3118	1	Food	1	uniform	0	Food13.jpg	1	ThreeItems
6	1508	1	Objects	1	uniform	0	Objects18.jpg	2	ThreeItems
6	1585	1	Objects	2	mixed	0	Objects1.jpg	2	ThreeItems
6	1667	1	Food	2	mixed	0	Food20.jpg	1	ThreeItems
6	1389	1	Food	1	uniform	0	Food11.jpg	1	ThreeItems
6	1503	1	Objects	2	mixed	0	Objects8.jpg	2	ThreeItems
6	2589	1	Food	2	mixed	0	Food13.jpg	1	ThreeItems
6	1263	1	Objects	1	uniform	0	Objects16.jpg	2	ThreeItems
6	1551	1	Objects	1	uniform	0	Objects15.jpg	2	ThreeItems
6	2013	1	Food	2	mixed	0	Food8.jpg	1	ThreeItems
6	3165	1	Food	1	uniform	0	Food18.jpg	1	ThreeItems
6	1796	1	Objects	2	mixed	0	Objects20.jpg	2	SixItems
6	1437	1	Food	1	uniform	0	Food15.jpg	1	SixItems
6	1006	0	Objects	2	mixed	0	Objects16.jpg	2	SixItems
6	2822	1	Food	2	mixed	0	Food17.jpg	1	SixItems
6	1340	1	Objects	1	uniform	0	Objects7.jpg	2	SixItems
6	1350	1	Objects	2	mixed	0	Objects15.jpg	2	SixItems
6	2229	1	Food	1	uniform	0	Food1.jpg	1	SixItems
6	2433	1	Food	2	mixed	0	Food5.jpg	1	SixItems
6	3164	1	Objects	1	uniform	0	Objects6.jpg	2	SixItems
6	2980	1	Food	1	uniform	0	Food3.jpg	1	SixItems
6	2607	1	Objects	2	mixed	0	Objects2.jpg	2	SixItems
6	3297	1	Food	2	mixed	0	Food12.jpg	1	SixItems
6	3420	1	Objects	1	uniform	0	Objects2.jpg	2	SixItems
6	3608	1	Objects	2	mixed	0	Objects9.jpg	2	SixItems
6	3321	1	Food	2	mixed	0	Food19.jpg	1	SixItems
6	1361	1	Food	1	uniform	0	Food16.jpg	1	SixItems
6	1830	1	Objects	1	uniform	0	Objects5.jpg	2	SixItems
6	1005	0	Food	1	uniform	0	Food2.jpg	1	SixItems
6	14138	1	Food	2	mixed	0	Food1.jpg	1	SixItems
6	2780	0	Objects	2	mixed	0	Objects6.jpg	2	SixItems
6	2020	0	Objects	1	uniform	0	Objects12.jpg	2	SixItems
6	987	1	Food	1	uniform	0	Food20.jpg	1	SixItems
6	2122	0	Food	2	mixed	0	Food7.jpg	1	SixItems
6	1139	1	Objects	1	uniform	0	Objects19.jpg	2	SixItems
6	1478	1	Objects	2	mixed	0	Objects17.jpg	2	SixItems
6	2932	1	Objects	1	uniform	0	Objects17.jpg	2	SixItems
6	2636	1	Food	2	mixed	0	Food18.jpg	1	SixItems
6	1623	1	Food	1	uniform	0	Food12.jpg	1	SixItems
6	3078	1	Objects	2	mixed	0	Objects4.jpg	2	SixItems
6	1414	1	Objects	2	mixed	0	Objects11.jpg	2	SixItems
6	4843	0	Objects	1	uniform	0	Objects3.jpg	2	SixItems
6	1980	0	Food	2	mixed	0	Food11.jpg	1	SixItems
6	2147	1	Food	1	uniform	0	Food6.jpg	1	SixItems
6	1509	1	Objects	2	mixed	0	Objects7.jpg	2	SixItems
6	1458	1	Food	1	uniform	0	Food8.jpg	1	SixItems
6	1255	1	Food	2	mixed	0	Food9.jpg	1	SixItems
6	3220	0	Objects	1	uniform	0	Objects14.jpg	2	SixItems
6	1993	1	Objects	1	uniform	0	Objects10.jpg	2	SixItems
6	1431	1	Food	1	uniform	0	Food14.jpg	1	SixItems
6	4214	1	Objects	2	mixed	0	Objects3.jpg	2	SixItems
6	1997	0	Food	2	mixed	0	Food4.jpg	1	SixItems
6	1314	1	Food	1	uniform	0	Food19.jpg	1	SixItems
6	1642	1	Objects	1	uniform	0	Objects4.jpg	2	SixItems
6	1672	1	Food	2	mixed	0	Food14.jpg	1	SixItems
6	12369	1	Objects	2	mixed	0	Objects18.jpg	2	SixItems
6	2227	1	Food	2	mixed	0	Food15.jpg	1	SixItems
6	5525	0	Objects	2	mixed	0	Objects19.jpg	2	SixItems
6	1600	1	Food	1	uniform	0	Food10.jpg	1	SixItems
6	2019	1	Objects	1	uniform	0	Objects11.jpg	2	SixItems
6	5989	0	Objects	1	uniform	0	Objects8.jpg	2	SixItems
6	9853	0	Food	1	uniform	0	Food9.jpg	1	SixItems
6	1256	1	Objects	2	mixed	0	Objects5.jpg	2	SixItems
6	3391	0	Food	2	mixed	0	Food6.jpg	1	SixItems
6	1114	1	Food	2	mixed	0	Food16.jpg	1	SixItems
6	2099	1	Objects	1	uniform	0	Objects13.jpg	2	SixItems
6	1677	1	Objects	2	mixed	0	Objects12.jpg	2	SixItems
6	2068	0	Food	1	uniform	0	Food17.jpg	1	SixItems
6	1165	0	Food	1	uniform	0	Food7.jpg	1	SixItems
6	1181	1	Food	2	mixed	0	Food3.jpg	1	SixItems
6	1648	1	Objects	1	uniform	0	Objects9.jpg	2	SixItems
6	888	0	Objects	2	mixed	0	Objects10.jpg	2	SixItems
6	846	1	Objects	2	mixed	0	Objects13.jpg	2	SixItems
6	1179	0	Objects	1	uniform	0	Objects20.jpg	2	SixItems
6	4882	0	Food	2	mixed	0	Food10.jpg	1	SixItems
6	1969	1	Food	1	uniform	0	Food5.jpg	1	SixItems
6	1686	1	Objects	2	mixed	0	Objects14.jpg	2	SixItems
6	871	1	Food	2	mixed	0	Food2.jpg	1	SixItems
6	2321	0	Food	1	uniform	0	Food4.jpg	1	SixItems
6	3408	0	Objects	1	uniform	0	Objects1.jpg	2	SixItems
7	2546	1	Food	1	uniform	0	Food20.jpg	1	ThreeItems
7	1338	1	Food	2	mixed	0	Food13.jpg	1	ThreeItems
7	1218	1	Objects	2	mixed	0	Objects1.jpg	2	ThreeItems
7	1417	1	Objects	1	uniform	0	Objects14.jpg	2	ThreeItems
7	988	1	Food	2	mixed	0	Food6.jpg	1	ThreeItems
7	871	1	Food	1	uniform	0	Food6.jpg	1	ThreeItems
7	1373	1	Objects	2	mixed	0	Objects16.jpg	2	ThreeItems
7	822	1	Objects	1	uniform	0	Objects18.jpg	2	ThreeItems
7	2660	1	Food	2	mixed	0	Food7.jpg	1	ThreeItems
7	1005	1	Objects	1	uniform	0	Objects1.jpg	2	ThreeItems
7	939	1	Food	1	uniform	0	Food19.jpg	1	ThreeItems
7	1374	1	Objects	2	mixed	0	Objects15.jpg	2	SixItems
7	1454	1	Objects	1	uniform	0	Objects3.jpg	2	SixItems
7	1086	1	Food	1	uniform	0	Food9.jpg	1	SixItems
7	1904	1	Objects	2	mixed	0	Objects9.jpg	2	SixItems
7	1092	1	Food	2	mixed	0	Food1.jpg	1	SixItems
7	1929	1	Objects	1	uniform	0	Objects7.jpg	2	SixItems
