sub	RT	condition	conditionName	correct	category	repeatDist	conditionCheck	categoryNum	phase	test
4	1960	2	mixed	1	SmallFam	0	2	2	SixItems	6
4	1343	1	uniform	1	BigFam	0	1	1	SixItems	6
4	2015	1	uniform	1	SmallFam	0	1	2	SixItems	6
4	4917	2	mixed	0	SmallFam	0	2	2	SixItems	6
4	1691	2	mixed	1	BigFam	0	2	1	SixItems	6
4	1245	1	uniform	1	BigFam	0	1	1	SixItems	6
4	1840	2	mixed	1	BigFam	0	2	1	SixItems	6
4	1930	1	uniform	0	SmallFam	0	1	2	SixItems	6
4	1148	2	mixed	1	SmallFam	0	2	2	SixItems	6
4	1005	1	uniform	1	SmallFam	0	1	2	SixItems	6
4	1646	1	uniform	1	BigFam	0	1	1	SixItems	6
4	1958	2	mixed	0	SmallFam	0	2	2	SixItems	6
4	1364	2	mixed	0	BigFam	0	2	1	SixItems	6
4	1814	1	uniform	1	SmallFam	0	1	2	SixItems	6
4	1951	2	mixed	1	SmallFam	0	2	2	SixItems	6
4	1654	2	mixed	1	BigFam	0	2	1	SixItems	6
4	1473	1	uniform	0	BigFam	0	1	1	SixItems	6
4	2305	1	uniform	1	BigFam	0	1	1	SixItems	6
4	2555	2	mixed	1	BigFam	0	2	1	SixItems	6
4	1315	2	mixed	1	SmallFam	0	2	2	SixItems	6
4	1998	1	uniform	1	SmallFam	0	1	2	SixItems	6
4	7189	1	uniform	0	BigFam	0	1	1	SixItems	6
4	1524	2	mixed	1	SmallFam	0	2	2	SixItems	6
4	1096	2	mixed	1	BigFam	0	2	1	SixItems	6
4	1231	1	uniform	1	SmallFam	0	1	2	SixItems	6
4	1764	2	mixed	1	BigFam	0	2	1	SixItems	6
4	3795	2	mixed	0	SmallFam	0	2	2	SixItems	6
5	2530	2	mixed	1	BigFam	0	2	1	ThreeItems	3
5	15590	1	uniform	1	BigFam	0	1	1	ThreeItems	3
5	7740	1	uniform	0	SmallFam	0	1	2	ThreeItems	3
5	2329	2	mixed	1	SmallFam	0	2	2	ThreeItems	3
5	1734	2	mixed	1	BigFam	0	2	1	ThreeItems	3
5	1054	2	mixed	1	SmallFam	0	2	2	ThreeItems	3
