sub	RT	correct	category	condition	conditionName	repeatDist	targetItem	conditionCheck	categoryNum	phase	test
6	1610	1	Animals	1	uniform	0	7.jpg	1	1	FourItems	4
6	2045	1	Animals	2	mixed	0	7.jpg	2	1	FourItems	4
6	2374	0	Animals	1	uniform	0	17.jpg	1	1	FourItems	4
6	1274	1	Objects	2	mixed	0	5.jpg	2	2	FourItems	4
6	1810	1	Objects	1	uniform	0	24.jpg	1	2	SixItems	6
6	3322	0	Animals	1	uniform	0	13.jpg	1	1	SixItems	6
6	2356	1	Animals	2	mixed	0	23.jpg	2	1	SixItems	6
6	45022	1	Objects	1	uniform	0	15.jpg	1	2	SixItems	6
6	1519	1	Objects	2	mixed	0	18.jpg	2	2	SixItems	6
6	1883	0	Objects	2	mixed	0	11.jpg	2	2	SixItems	6
6	1022	0	Animals	1	uniform	0	18.jpg	1	1	SixItems	6
6	1467	1	Objects	1	uniform	0	17.jpg	1	2	SixItems	6
6	1801	1	Animals	2	mixed	0	13.jpg	2	1	SixItems	6
6	1139	0	Objects	1	uniform	0	14.jpg	1	2	SixItems	6
6	6400	1	Animals	1	uniform	0	21.jpg	1	1	SixItems	6
6	1604	1	Animals	2	mixed	0	6.jpg	2	1	SixItems	6
6	1771	1	Objects	2	mixed	0	2.jpg	2	2	SixItems	6
6	1753	1	Animals	2	mixed	0	22.jpg	2	1	SixItems	6
6	3909	0	Animals	1	uniform	0	20.jpg	1	1	SixItems	6
6	2550	1	Objects	1	uniform	0	16.jpg	1	2	SixItems	6
6	2519	0	Objects	2	mixed	0	7.jpg	2	2	SixItems	6
6	1814	0	Objects	2	mixed	0	1.jpg	2	2	SixItems	6
6	2986	1	Animals	2	mixed	0	9.jpg	2	1	SixItems	6
6	2702	1	Objects	1	uniform	0	19.jpg	1	2	SixItems	6
6	1810	1	Animals	1	uniform	0	15.jpg	1	1	SixItems	6
6	1503	0	Animals	2	mixed	0	4.jpg	2	1	SixItems	6
6	1137	0	Objects	2	mixed	0	4.jpg	2	2	SixItems	6
6	8582	1	Objects	1	uniform	0	13.jpg	1	2	SixItems	6
6	3114	1	Animals	1	uniform	0	8.jpg	1	1	SixItems	6
6	1882	1	Objects	1	uniform	0	10.jpg	1	2	SixItems	6
6	2531	1	Objects	2	mixed	0	15.jpg	2	2	SixItems	6
6	1069	1	Animals	2	mixed	0	19.jpg	2	1	SixItems	6
6	2829	0	Animals	1	uniform	0	6.jpg	1	1	SixItems	6
7	4046	1	Animals	1	uniform	0	12.jpg	1	1	ThreeItems	3
7	1005	1	Animals	2	mixed	0	15.jpg	2	1	ThreeItems	3
7	922	1	Objects	1	uniform	0	5.jpg	1	2	ThreeItems	3
7	972	1	Animals	2	mixed	0	10.jpg	2	1	ThreeItems	3
7	1106	1	Objects	2	mixed	0	2.jpg	2	2	ThreeItems	3
7	1170	1	Animals	1	uniform	0	20.jpg	1	1	ThreeItems	3
7	962	1	Objects	1	uniform	0	8.jpg	1	2	ThreeItems	3
7	789	1	Animals	2	mixed	0	22.jpg	2	1	ThreeItems	3
7	886	1	Objects	2	mixed	0	10.jpg	2	2	ThreeItems	3
7	1097	1	Animals	1	uniform	0	6.jpg	1	1	ThreeItems	3
7	1153	1	Objects	1	uniform	0	6.jpg	1	2	FourItems	4
7	956	1	Animals	2	mixed	0	11.jpg	2	1	FourItems	4
7	1308	1	Objects	1	uniform	0	3.jpg	1	2	FourItems	4
7	1188	1	Animals	1	uniform	0	5.jpg	1	1	FourItems	4
7	1072	1	Objects	2	mixed	0	8.jpg	2	2	FourItems	4
7	1407	1	Animals	2	mixed	0	3.jpg	2	1	SixItems	6
7	1006	1	Objects	2	mixed	0	4.jpg	2	2	SixItems	6
7	1729	1	Animals	1	uniform	0	9.jpg	1	1	SixItems	6
7	1868	1	Objects	1	uniform	0	2.jpg	1	2	SixItems	6
7	1090	1	Animals	2	mixed	0	7.jpg	2	1	SixItems	6
7	1202	1	Objects	2	mixed	0	14.jpg	2	2	SixItems	6
7	2797	1	Animals	1	uniform	0	19.jpg	1	1	SixItems	6
7	2950	1	Objects	1	uniform	0	22.jpg	1	2	SixItems	6
7	1431	1	Objects	2	mixed	0	5.jpg	2	2	SixItems	6
7	1876	1	Animals	1	uniform	0	23.jpg	1	1	SixItems	6
7	1005	1	Objects	1	uniform	0	11.jpg	1	2	SixItems	6
7	1039	1	Animals	2	mixed	0	9.jpg	2	1	SixItems	6
